26-06-04 21:39:06: Training starting...
Episode 0: total reward -123.2, steps 60
26-06-04 21:39:06: Episode 0 | New best mean reward: -123.2
Episode 1: total reward -102.1, steps 63
26-06-04 21:39:06: Episode 1 | New best mean reward: -112.6
Episode 2: total reward -429.7, steps 101
Episode 3: total reward -378.7, steps 88
Episode 4: total reward -151.4, steps 67
Episode 5: total reward -86.2, steps 73
Episode 6: total reward -137.1, steps 58
Episode 7: total reward -291.8, steps 113
Episode 8: total reward -97.3, steps 80
Episode 9: total reward -41.0, steps 69
Episode 10: total reward -193.9, steps 148
Episode 11: total reward -342.8, steps 77
Episode 12: total reward -136.9, steps 76
Episode 13: total reward -241.5, steps 105
Episode 14: total reward -227.0, steps 109
Episode 15: total reward -149.5, steps 59
Episode 16: total reward -88.0, steps 60
Episode 17: total reward -239.0, steps 107
Episode 18: total reward -112.1, steps 86
Episode 19: total reward -287.6, steps 137
Episode 20: total reward -168.0, steps 126
Episode 21: total reward -105.7, steps 80
Episode 22: total reward -201.4, steps 72
Episode 23: total reward -328.7, steps 96
Episode 24: total reward -188.4, steps 109
Episode 25: total reward -171.7, steps 133
Episode 26: total reward -77.9, steps 65
Episode 27: total reward -259.1, steps 77
Episode 28: total reward -142.8, steps 74
Episode 29: total reward -138.0, steps 115
Episode 30: total reward -195.4, steps 79
Episode 31: total reward -208.3, steps 82
Episode 32: total reward -92.3, steps 66
Episode 33: total reward -130.5, steps 73
Episode 34: total reward -339.1, steps 151
Episode 35: total reward -305.2, steps 96
Episode 36: total reward -99.2, steps 154
Episode 37: total reward -147.8, steps 121
Episode 38: total reward -123.0, steps 97
Episode 39: total reward -132.6, steps 86
Episode 40: total reward -361.3, steps 131
Episode 41: total reward -97.9, steps 74
Episode 42: total reward -108.3, steps 130
Episode 43: total reward -152.3, steps 90
Episode 44: total reward -171.1, steps 93
Episode 45: total reward -90.3, steps 69
Episode 46: total reward -95.8, steps 101
Episode 47: total reward -573.8, steps 128
Episode 48: total reward -308.5, steps 114
Episode 49: total reward -256.4, steps 121
Episode 50: total reward -318.5, steps 148
Episode 51: total reward -105.0, steps 82
Episode 52: total reward -117.7, steps 81
Episode 53: total reward -347.8, steps 134
Episode 54: total reward -190.8, steps 116
Episode 55: total reward -298.5, steps 87
Episode 56: total reward -179.3, steps 101
Episode 57: total reward -209.8, steps 115
Episode 58: total reward -28.5, steps 86
Episode 59: total reward -80.2, steps 114
Episode 60: total reward -128.3, steps 103
Episode 61: total reward -267.9, steps 97
Episode 62: total reward -89.0, steps 97
Episode 63: total reward -376.4, steps 114
Episode 64: total reward -228.6, steps 107
Episode 65: total reward -49.7, steps 196
Episode 66: total reward -56.2, steps 67
Episode 67: total reward -86.3, steps 114
Episode 68: total reward -103.8, steps 149
Episode 69: total reward -358.3, steps 92
Episode 70: total reward -106.9, steps 147
Episode 71: total reward -1.8, steps 117
Episode 72: total reward -221.0, steps 127
Episode 73: total reward -330.5, steps 187
Episode 74: total reward -223.2, steps 90
Episode 75: total reward -245.0, steps 137
Episode 76: total reward -118.3, steps 74
Episode 77: total reward -116.4, steps 99
Episode 78: total reward -219.0, steps 149
Episode 79: total reward -81.6, steps 101
Episode 80: total reward -201.7, steps 143
Episode 81: total reward -104.4, steps 73
Episode 82: total reward -90.2, steps 96
Episode 83: total reward -120.1, steps 89
Episode 84: total reward -66.2, steps 69
Episode 85: total reward -180.1, steps 101
Episode 86: total reward -98.1, steps 164
Episode 87: total reward -120.2, steps 113
Episode 88: total reward -220.8, steps 151
Episode 89: total reward -91.6, steps 93
Episode 90: total reward -249.3, steps 98
Episode 91: total reward -121.0, steps 128
Episode 92: total reward -113.7, steps 133
Episode 93: total reward -138.9, steps 115
Episode 94: total reward -266.2, steps 82
Episode 95: total reward -201.9, steps 85
Episode 96: total reward -90.9, steps 79
Episode 97: total reward -94.6, steps 138
Episode 98: total reward -64.0, steps 69
Episode 99: total reward -97.1, steps 103
Episode 100: total reward -247.6, steps 148
Episode 101: total reward -86.5, steps 169
Episode 102: total reward -156.0, steps 141
Episode 103: total reward -273.5, steps 81
Episode 104: total reward -133.3, steps 111
Episode 105: total reward -84.6, steps 75
Episode 106: total reward -66.8, steps 169
Episode 107: total reward -63.1, steps 85
Episode 108: total reward -204.7, steps 102
Episode 109: total reward -93.8, steps 66
Episode 110: total reward -167.2, steps 100
Episode 111: total reward -211.2, steps 85
Episode 112: total reward -165.0, steps 105
Episode 113: total reward -87.6, steps 82
Episode 114: total reward -172.2, steps 131
Episode 115: total reward 60.4, steps 127
Episode 116: total reward -166.9, steps 95
Episode 117: total reward -123.2, steps 82
Episode 118: total reward -189.1, steps 79
Episode 119: total reward -151.3, steps 118
Episode 120: total reward -199.6, steps 154
Episode 121: total reward -45.7, steps 97
Episode 122: total reward -206.3, steps 157
Episode 123: total reward -138.0, steps 96
Episode 124: total reward -304.5, steps 147
Episode 125: total reward -8.9, steps 75
Episode 126: total reward -105.0, steps 102
Episode 127: total reward -128.1, steps 109
Episode 128: total reward -39.1, steps 147
Episode 129: total reward -98.5, steps 90
Episode 130: total reward -291.6, steps 159
Episode 131: total reward -18.2, steps 82
Episode 132: total reward -258.8, steps 188
Episode 133: total reward -66.0, steps 148
Episode 134: total reward -191.3, steps 119
Episode 135: total reward -57.8, steps 104
Episode 136: total reward -186.1, steps 131
Episode 137: total reward -74.8, steps 119
Episode 138: total reward -93.2, steps 95
Episode 139: total reward -197.1, steps 100
Episode 140: total reward -285.4, steps 165
Episode 141: total reward -92.3, steps 99
Episode 142: total reward -248.7, steps 165
Episode 143: total reward -154.8, steps 130
Episode 144: total reward -164.7, steps 136
Episode 145: total reward -201.4, steps 157
Episode 146: total reward -204.0, steps 177
Episode 147: total reward -94.4, steps 93
Episode 148: total reward -182.1, steps 136
Episode 149: total reward -150.4, steps 103
Episode 150: total reward -161.5, steps 108
Episode 151: total reward -96.7, steps 81
Episode 152: total reward -96.3, steps 106
Episode 153: total reward -87.6, steps 66
Episode 154: total reward -167.2, steps 117
Episode 155: total reward -185.9, steps 106
Episode 156: total reward -33.4, steps 82
Episode 157: total reward -148.3, steps 111
Episode 158: total reward -245.3, steps 113
Episode 159: total reward -172.2, steps 110
Episode 160: total reward -122.2, steps 89
Episode 161: total reward -171.4, steps 138
Episode 162: total reward -92.7, steps 74
Episode 163: total reward -7.5, steps 95
Episode 164: total reward -80.5, steps 115
Episode 165: total reward -189.9, steps 125
Episode 166: total reward -206.0, steps 119
Episode 167: total reward -166.6, steps 111
Episode 168: total reward -40.3, steps 105
Episode 169: total reward -97.1, steps 90
Episode 170: total reward -77.5, steps 78
Episode 171: total reward -128.5, steps 132
Episode 172: total reward -232.9, steps 173
Episode 173: total reward -96.7, steps 112
Episode 174: total reward -23.0, steps 76
Episode 175: total reward -104.6, steps 126
Episode 176: total reward -148.0, steps 139
Episode 177: total reward -70.6, steps 105
Episode 178: total reward -34.7, steps 91
Episode 179: total reward -91.3, steps 77
Episode 180: total reward -132.9, steps 121
Episode 181: total reward -86.0, steps 177
Episode 182: total reward -221.7, steps 129
Episode 183: total reward -37.3, steps 88
Episode 184: total reward -51.0, steps 81
Episode 185: total reward -97.7, steps 71
Episode 186: total reward -106.7, steps 77
Episode 187: total reward -262.8, steps 135
Episode 188: total reward -81.8, steps 148
Episode 189: total reward -142.1, steps 145
Episode 190: total reward -130.2, steps 164
Episode 191: total reward -50.4, steps 138
Episode 192: total reward -322.9, steps 132
Episode 193: total reward -308.1, steps 114
Episode 194: total reward -51.1, steps 88
Episode 195: total reward -94.1, steps 89
Episode 196: total reward -61.0, steps 85
Episode 197: total reward -65.3, steps 89
Episode 198: total reward -183.7, steps 136
Episode 199: total reward -57.9, steps 157
Episode 200: total reward -48.4, steps 177
Episode 201: total reward -126.0, steps 71
Episode 202: total reward -218.8, steps 112
Episode 203: total reward -19.0, steps 151
Episode 204: total reward -80.1, steps 81
Episode 205: total reward -96.7, steps 171
Episode 206: total reward -118.8, steps 110
Episode 207: total reward -102.5, steps 197
Episode 208: total reward -93.9, steps 103
Episode 209: total reward -71.8, steps 85
Episode 210: total reward -164.0, steps 145
Episode 211: total reward -80.6, steps 120
Episode 212: total reward -351.1, steps 165
Episode 213: total reward -74.4, steps 167
Episode 214: total reward -253.9, steps 170
Episode 215: total reward -166.5, steps 111
Episode 216: total reward -363.5, steps 130
Episode 217: total reward -52.2, steps 111
Episode 218: total reward -81.0, steps 94
Episode 219: total reward -185.3, steps 104
Episode 220: total reward -90.7, steps 104
Episode 221: total reward -79.7, steps 97
Episode 222: total reward -44.7, steps 83
Episode 223: total reward -412.4, steps 225
Episode 224: total reward -86.4, steps 105
Episode 225: total reward -222.9, steps 188
Episode 226: total reward -55.8, steps 148
Episode 227: total reward -87.3, steps 363
Episode 228: total reward -78.2, steps 97
Episode 229: total reward -124.3, steps 156
Episode 230: total reward -262.0, steps 141
Episode 231: total reward -359.8, steps 153
Episode 232: total reward -84.9, steps 209
Episode 233: total reward -158.2, steps 181
Episode 234: total reward -62.3, steps 212
Episode 235: total reward -58.2, steps 83
Episode 236: total reward -179.5, steps 102
Episode 237: total reward -9.9, steps 116
Episode 238: total reward -174.4, steps 159
Episode 239: total reward -74.7, steps 106
Episode 240: total reward -139.4, steps 115
Episode 241: total reward -178.4, steps 122
Episode 242: total reward -132.6, steps 107
Episode 243: total reward -175.3, steps 144
Episode 244: total reward -69.0, steps 121
Episode 245: total reward -80.2, steps 170
Episode 246: total reward -204.8, steps 119
Episode 247: total reward -28.2, steps 182
Episode 248: total reward -75.8, steps 123
Episode 249: total reward -130.0, steps 123
Episode 250: total reward -108.5, steps 96
Episode 251: total reward -62.2, steps 124
Episode 252: total reward -44.6, steps 85
Episode 253: total reward -84.1, steps 185
Episode 254: total reward -158.9, steps 166
Episode 255: total reward -182.4, steps 101
Episode 256: total reward -90.9, steps 116
Episode 257: total reward -92.6, steps 89
Episode 258: total reward -121.3, steps 123
Episode 259: total reward 10.8, steps 118
Episode 260: total reward -196.5, steps 140
Episode 261: total reward -27.7, steps 81
Episode 262: total reward -75.8, steps 81
Episode 263: total reward -52.0, steps 222
Episode 264: total reward -282.6, steps 152
Episode 265: total reward -98.8, steps 175
Episode 266: total reward -36.8, steps 86
Episode 267: total reward -124.7, steps 196
Episode 268: total reward -230.5, steps 112
Episode 269: total reward -218.8, steps 253
Episode 270: total reward -237.8, steps 116
Episode 271: total reward -244.0, steps 124
Episode 272: total reward -96.0, steps 171
Episode 273: total reward -86.7, steps 81
Episode 274: total reward -113.2, steps 98
Episode 275: total reward -57.6, steps 152
Episode 276: total reward -54.1, steps 103
Episode 277: total reward -69.8, steps 111
Episode 278: total reward -69.1, steps 80
Episode 279: total reward -161.7, steps 171
Episode 280: total reward -52.8, steps 188
Episode 281: total reward -80.1, steps 105
Episode 282: total reward -213.0, steps 92
Episode 283: total reward -40.3, steps 170
Episode 284: total reward -144.1, steps 95
Episode 285: total reward -89.7, steps 180
Episode 286: total reward -108.7, steps 91
Episode 287: total reward -111.7, steps 154
Episode 288: total reward -161.4, steps 191
Episode 289: total reward -37.0, steps 78
Episode 290: total reward -107.4, steps 101
Episode 291: total reward -34.0, steps 142
Episode 292: total reward -117.3, steps 88
Episode 293: total reward -134.0, steps 154
Episode 294: total reward -48.8, steps 94
Episode 295: total reward -94.0, steps 183
Episode 296: total reward -71.8, steps 191
Episode 297: total reward -168.0, steps 106
Episode 298: total reward -28.6, steps 95
Episode 299: total reward -84.7, steps 128
Episode 300: total reward -129.5, steps 204
Episode 301: total reward -131.4, steps 141
Episode 302: total reward -300.5, steps 140
Episode 303: total reward -95.3, steps 255
Episode 304: total reward -74.6, steps 77
Episode 305: total reward -106.3, steps 160
Episode 306: total reward -81.2, steps 105
Episode 307: total reward -108.3, steps 155
Episode 308: total reward -41.1, steps 193
Episode 309: total reward -54.8, steps 95
Episode 310: total reward -216.0, steps 99
Episode 311: total reward -103.2, steps 110
Episode 312: total reward -37.7, steps 131
Episode 313: total reward -137.0, steps 137
Episode 314: total reward -111.2, steps 118
Episode 315: total reward -91.2, steps 195
Episode 316: total reward -46.8, steps 171
Episode 317: total reward -7.1, steps 157
Episode 318: total reward -243.2, steps 158
Episode 319: total reward -135.7, steps 134
Episode 320: total reward -45.3, steps 157
Episode 321: total reward -71.7, steps 179
Episode 322: total reward -45.2, steps 174
Episode 323: total reward -83.5, steps 123
26-06-04 21:39:13: Episode 323 | New best mean reward: -111.9
Episode 324: total reward -165.3, steps 224
Episode 325: total reward -170.5, steps 158
Episode 326: total reward -147.5, steps 168
Episode 327: total reward -59.7, steps 89
Episode 328: total reward -62.8, steps 87
Episode 329: total reward -14.1, steps 122
26-06-04 21:39:13: Episode 329 | New best mean reward: -111.5
Episode 330: total reward -68.4, steps 104
26-06-04 21:39:13: Episode 330 | New best mean reward: -109.6
Episode 331: total reward -151.7, steps 175
26-06-04 21:39:13: Episode 331 | New best mean reward: -107.5
Episode 332: total reward -25.5, steps 112
26-06-04 21:39:13: Episode 332 | New best mean reward: -106.9
Episode 333: total reward -85.2, steps 119
26-06-04 21:39:13: Episode 333 | New best mean reward: -106.2
Episode 334: total reward -30.0, steps 122
26-06-04 21:39:13: Episode 334 | New best mean reward: -105.8
Episode 335: total reward -52.0, steps 136
26-06-04 21:39:13: Episode 335 | New best mean reward: -105.8
Episode 336: total reward -41.1, steps 145
26-06-04 21:39:13: Episode 336 | New best mean reward: -104.4
Episode 337: total reward -58.4, steps 103
Episode 338: total reward -77.3, steps 185
26-06-04 21:39:13: Episode 338 | New best mean reward: -103.9
Episode 339: total reward -48.2, steps 92
26-06-04 21:39:13: Episode 339 | New best mean reward: -103.7
Episode 340: total reward -73.1, steps 121
26-06-04 21:39:13: Episode 340 | New best mean reward: -103.0
Episode 341: total reward 7.2, steps 119
26-06-04 21:39:13: Episode 341 | New best mean reward: -101.1
Episode 342: total reward -107.0, steps 170
26-06-04 21:39:13: Episode 342 | New best mean reward: -100.9
Episode 343: total reward -41.0, steps 107
26-06-04 21:39:13: Episode 343 | New best mean reward: -99.5
Episode 344: total reward -347.3, steps 138
Episode 345: total reward -44.7, steps 88
Episode 346: total reward -396.3, steps 141
Episode 347: total reward -102.9, steps 84
Episode 348: total reward 33.0, steps 104
Episode 349: total reward -321.1, steps 110
Episode 350: total reward -288.9, steps 139
Episode 351: total reward -45.5, steps 131
Episode 352: total reward -165.2, steps 207
Episode 353: total reward -138.4, steps 162
Episode 354: total reward -22.4, steps 166
Episode 355: total reward -37.3, steps 110
Episode 356: total reward -30.2, steps 148
Episode 357: total reward -69.5, steps 144
Episode 358: total reward -111.3, steps 139
Episode 359: total reward -137.0, steps 104
Episode 360: total reward -57.1, steps 172
Episode 361: total reward -49.9, steps 113
Episode 362: total reward -71.9, steps 122
Episode 363: total reward -99.0, steps 115
Episode 364: total reward -48.9, steps 143
Episode 365: total reward -11.2, steps 97
Episode 366: total reward -19.5, steps 131
Episode 367: total reward -228.1, steps 143
Episode 368: total reward -100.8, steps 134
Episode 369: total reward -36.4, steps 113
Episode 370: total reward -77.6, steps 130
26-06-04 21:39:14: Episode 370 | New best mean reward: -98.7
Episode 371: total reward -47.2, steps 157
26-06-04 21:39:14: Episode 371 | New best mean reward: -96.8
Episode 372: total reward -228.8, steps 135
Episode 373: total reward -28.3, steps 124
Episode 374: total reward -75.5, steps 75
Episode 375: total reward -35.2, steps 145
Episode 376: total reward -36.7, steps 96
26-06-04 21:39:14: Episode 376 | New best mean reward: -96.7
Episode 377: total reward -57.1, steps 198
26-06-04 21:39:14: Episode 377 | New best mean reward: -96.6
Episode 378: total reward -67.4, steps 174
26-06-04 21:39:14: Episode 378 | New best mean reward: -96.6
Episode 379: total reward -54.4, steps 103
26-06-04 21:39:14: Episode 379 | New best mean reward: -95.5
Episode 380: total reward -83.0, steps 128
Episode 381: total reward -80.5, steps 121
Episode 382: total reward -72.3, steps 156
26-06-04 21:39:14: Episode 382 | New best mean reward: -94.4
Episode 383: total reward -130.9, steps 133
Episode 384: total reward -150.5, steps 164
Episode 385: total reward 7.0, steps 154
Episode 386: total reward -22.9, steps 155
26-06-04 21:39:14: Episode 386 | New best mean reward: -93.6
Episode 387: total reward -15.0, steps 206
26-06-04 21:39:14: Episode 387 | New best mean reward: -92.6
Episode 388: total reward -39.6, steps 118
26-06-04 21:39:14: Episode 388 | New best mean reward: -91.4
Episode 389: total reward -31.1, steps 94
26-06-04 21:39:14: Episode 389 | New best mean reward: -91.3
Episode 390: total reward -55.5, steps 111
26-06-04 21:39:14: Episode 390 | New best mean reward: -90.8
Episode 391: total reward -40.8, steps 99
Episode 392: total reward 43.2, steps 1000
26-06-04 21:39:14: Episode 392 | New best mean reward: -89.3
Episode 393: total reward -202.6, steps 163
Episode 394: total reward 25.0, steps 93
